model,cv_rmse_mean,cv_rmse_std,cv_mae_mean,cv_mae_std,cv_r2_mean,cv_r2_std,cv_medae_mean,cv_mape_mean,cv_mdape_mean,cv_within_10pct_mean,cv_within_20pct_mean,cv_within_30pct_mean,cv_within_50pct_mean,oof_rmse,oof_mae,oof_r2,oof_medae,oof_mape,oof_mdape,oof_within_20pct
RandomForest,168.74393244846084,35.969197362552094,12.077093851005328,2.28491490931901,0.9621977906632935,0.01304148279369788,0.2785866557093509,46.63026664784299,22.696093699638016,23.554014094794802,44.809806914408625,60.624726844085785,78.03313435392141,172.53173274852108,12.076870051446157,0.9615658687981012,0.2780398076195567,46.626825880055556,22.720202111419805,44.809853342644914
XGBoost,171.02509428995512,46.7340755125451,12.900633291316751,3.7037610096530664,0.960481492226128,0.019165258985601327,0.24551744457775876,41.88389281123748,21.226544511691156,24.995285951046025,47.26051190602127,63.995933767561816,81.63291069098749,177.29360361967966,12.900543141295689,0.9594150294394561,0.245747851387207,41.88275740743621,21.320333813446148,47.260491397371595
ExtraTrees,174.94625248811505,62.83688813394736,12.32992801889549,3.6532864449769873,0.9563561014420523,0.02834125583681012,0.2714751833776138,73.4362926816045,21.946507738425545,25.65550870723832,46.06692559177485,61.77380624946477,78.62990534624934,185.88540467549458,12.329735385256448,0.9553861520465687,0.27122101375476815,73.44976204231696,22.02411760504829,46.06691638626119
CatBoost,293.0509718768999,21.57235178061883,23.357905975791237,2.1765869961495934,0.8884456820999305,0.012992788837611654,0.31349558600426086,50.928896014690324,27.61667263232826,19.319480336300394,37.47063819497967,53.43784437291261,74.33810178678475,293.842572401074,23.357853785054104,0.8885170287558972,0.3132686844699495,50.925336042247835,27.602855369510305,37.47063678496603
HistGradientBoosting,316.54962991688046,34.34880609631337,23.687667095889104,2.4746026143680337,0.8683837304387853,0.028204018787332447,0.25747554488147595,45.24266287140338,22.615819030345342,24.58254320875711,44.949487439109774,61.183376403560466,79.74729110939839,318.4088849187634,23.687798542366608,0.8690970433016294,0.2575075305173443,45.2430884860107,22.677677052660496,44.94952701415783
